Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
Unknown,Employee,1-2yr,Office areas,One way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,31-50,No priority to vehicle,Slight Injury
18-30,Employee,No Licence,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Rollover,1,1,Moving Backward,na,na,Changing lane to the right,Slight Injury
Over 51,Owner,5-10yr,Other,One way,Y Shape,Asphalt roads,Daylight,Other,Rollover,1,1,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,1-2yr, Industrial areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Serious Injury
Under 18,Employee,2-5yr, Church areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Unknown,2,1,Going straight,Driver or rider,31-50,No priority to pedestrian,Serious Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,31-50,Changing lane to the left,Slight Injury
31-50,,,,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,,,,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,1,1,Going straight,na,na,Driving under the influence of drugs,Fatal injury
Under 18,Employee,2-5yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Collision with pedestrians,2,1,Going straight,na,na,Moving Backward,Slight Injury
31-50,Employee,Above 10yr, Outside rural areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,,,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,31-50,No distancing,Slight Injury
31-50,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Windy,Collision with roadside objects,1,1,Going straight,Pedestrian,31-50,Moving Backward,Slight Injury
18-30,,,Office areas,other,No junction,Asphalt roads,Daylight,Raining,Unknown,2,1,Moving Backward,Pedestrian,18-30,No distancing,Slight Injury
18-30,Owner,5-10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
31-50,Owner,Above 10yr,School areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to pedestrian,Slight Injury
Unknown,Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Over 51,No priority to vehicle,Slight Injury
Over 51,,,Office areas,other,Crossing,Asphalt roads,Darkness - lights lit,Other,Collision with roadside objects,1,1,Going straight,Passenger,Over 51,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Rural village areasOffice areas,other,No junction,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Waiting to go,Driver or rider,31-50,No distancing,Slight Injury
18-30,Owner,Below 1yr,Residential areas,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Moving Backward,Passenger,18-30,Driving carelessly,Serious Injury
18-30,Owner,2-5yr,Office areas,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Under 18,Changing lane to the left,Serious Injury
18-30,Owner,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Moving Backward,Slight Injury
Under 18,Owner,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Unknown,2,2,Unknown,Driver or rider,Over 51,No distancing,Slight Injury
18-30,Owner,,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Owner,Below 1yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,31-50,No priority to vehicle,Slight Injury
31-50,Owner,Above 10yr,Office areas,,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Under 18,Getting off the vehicle improperly,Slight Injury
31-50,Owner,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Under 18,No distancing,Slight Injury
18-30,Owner,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
18-30,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Changing lane to the left,Serious Injury
31-50,Owner,,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Over 51,No priority to vehicle,Slight Injury
31-50,Employee,1-2yr,Residential areas,One way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Under 18,Driving carelessly,Slight Injury
18-30,Owner,5-10yr,School areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Unknown,2,2,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Employee,5-10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Under 18,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr, Church areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,Above 10yr,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Driving under the influence of drugs,Slight Injury
Over 51,Employee,5-10yr,Other,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,18-30,Changing lane to the left,Slight Injury
Over 51,Employee,No Licence,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,31-50,Getting off the vehicle improperly,Slight Injury
Over 51,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,18-30,Overloading,Serious Injury
18-30,Employee,5-10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Over 51,Driving carelessly,Serious Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Overtaking,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Waiting to go,na,na,No distancing,Slight Injury
18-30,Employee,5-10yr,Office areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,2,2,Going straight,Driver or rider,31-50,Overturning,Slight Injury
31-50,Employee,5-10yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
18-30,Employee,2-5yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,No priority to pedestrian,Slight Injury
Over 51,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,Under 18,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,One way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,1-2yr,School areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Getting off the vehicle improperly,Slight Injury
18-30,Employee,Below 1yr,Residential areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Passenger,31-50,No priority to pedestrian,Serious Injury
18-30,Employee,1-2yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Rollover,2,2,Going straight,Driver or rider,Over 51,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,na,na,Moving Backward,Slight Injury
Over 51,Employee,Above 10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Under 18,Changing lane to the left,Serious Injury
18-30,Employee,5-10yr,Residential areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,1,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,2-5yr,Other,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Under 18,Driving carelessly,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving under the influence of drugs,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,2,Turnover,Passenger,Over 51,Driving carelessly,Serious Injury
31-50,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,2,Reversing,Pedestrian,Under 18,Driving carelessly,Serious Injury
Over 51,Owner,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Under 18,Changing lane to the right,Slight Injury
Over 51,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,18-30,Driving carelessly,Slight Injury
31-50,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury
Over 51,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,Above 10yr, Church areas,Undivided Two way,Other,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,18-30,Moving Backward,Serious Injury
Over 51,Other,Above 10yr,Other,One way,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Unknown,Pedestrian,Over 51,Changing lane to the right,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,Moving Backward,Slight Injury
31-50,Employee,Below 1yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Moving Backward,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Owner,2-5yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,31-50,Changing lane to the right,Serious Injury
18-30,Employee,2-5yr,Other,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,3,1,Moving Backward,Driver or rider,Under 18,No distancing,Serious Injury
Over 51,Employee,2-5yr,Office areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,Moving Backward,Serious Injury
Over 51,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Windy,Vehicle with vehicle collision,3,1,Turnover,na,na,Driving carelessly,Slight Injury
